"Hawb Number","MessageDate","MessageTime","Status","Pieces","Weight","Pallets","ServiceCode","ISPickup","ISDelivery","ReadyTime","CloseTime","ShipperName","ShipperCode","ShipperAddress1","ShipperAddress2","ShipperCity","ShipperState","ShipperPostalCode","ShipperAttention","ShipperReference","ShipperContact","ShipperPhone","ShipperAssembly","ConsigneeName","ConsigneeCode","ConsigneeAddress1","ConsigneeAddress2","ConsigneeCity","ConsigneeState","ConsigneePostalCode","ConsigneeAttention","ConsigneeReference","ConsigneeContact","ConsigneePhone","ConsigneeAssembly","AppRequired","ApptDate","ApptTime","ApptNotes","PUAgentName","PUAgentCode","PUAgentDriverName","PUAgentDriverPhone","PUZone","PURemarks","DELAgentName","DELAgentCode","DELAgentDriverName","DELAgentDriverPhone","DELZone","DELRemarks","HawbDate","DueDate","DueTime","LoadPosition","RecordID","PODName","PODDate","PODTime","PickupConfirmed","Origin","Destination","Control","Via","RevenueTotal","CustomerName","CustomerPhone","CustomerAddress1","CustomerAddress2","CustomerCity","CustomerState","CustomerPostalCode","BillToName","BillToPhone","BillToAddress1","BillToAddress2","BillToCity","BillToState","BillToPostalCode"
"TEMPS2","8/9/2015","18:00","Dispatched Confirmed","1","65","0","SD GROUND","T","F","08:00","23:00","CATALINA (TUS)","CATA85706G","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85706","","45509369","","520-664-9189","","FORWARD AIR (TUS)","FORW85706A","2800 EAST AIRPORT","UNIT 6","TUCSON","AZ","85706","","45509369","","","","","12/30/1899","","","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Pu Instructions","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Del Instructions","8/9/2015","8/9/2015","17:00","","11740","","","","","TUS A","TUS A","CAT","","0","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706"
"TEMPS3","8/9/2015","18:00","Dispatched Confirmed","1","170","0","SD GROUND","T","F","08:00","23:00","FORWARD AIR (TUS)","FORW85706A","2800 EAST AIRPORT","UNIT 6","TUCSON","AZ","85706","","45509369","","","","CATALINA (TUS)","CATA85656","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85656","","45509369","HOLD FOR ROUTING","520-664-9189","","","12/30/1899","","","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Pu Instructions","","","","","A","Del Instructions","8/9/2015","8/9/2015","17:00","","11741","","","","","TUS A","TUS A","CAT","","0","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706"
"TEMPS5","8/9/2015","18:00","Dispatched Confirmed","1","500","0","SD GROUND","T","F","08:00","23:00","CATALINA (TUS)","CATA85706G","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85706","","45509369","","520-664-9189","","WALMART STORE # 5626","WALM85556","1260 EAST TUCSON MARKET PLACE BLVD","","TUCSON","AZ","85556","","45509369","HOLD FOR ROUTING","","","","12/30/1899","","","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Pu Instructions","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Del Instructions","8/9/2015","8/9/2015","23:00","","11742","","","","","TUS A","TUS A","CAT","","0","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706"
"TEMPS6","8/9/2015","18:00","Dispatched Confirmed","8","3360","0","SD GROUND","T","F","08:00","23:00","SUPPLY ONE","SUPP85706A","6620 S MEMORIAL PLACE","","TUCSON","AZ","85706","","45509369","","","","CATALINA (TUS)","CATA85506","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85506","","45509369","HOLD FOR ROUTING","520-664-9189","","","12/30/1899","","","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Pu Instructions","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Del Instructions","8/9/2015","8/9/2015","17:00","","11743","","","","","TUS A","TUS A","CAT","","0","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706"
"TEMPS7","8/9/2015","18:00","Dispatched Confirmed","2","100","0","SD GROUND","T","F","08:00","23:00","TOWNE AIRE (TUS)","TOWN85706B","6855 LISA FRANK AVE","SUITE 120","TUCSON","AZ","85706","","45509369","HOLD FOR ROUTING","520-664-9189","","CATALINA (TUS)","CATA85456","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85456","","45509369","HOLD FOR ROUTING","520-664-9189","","","12/30/1899","","","CATALINA CARTAGE (TUS)","CATTUS1","Esteban Ruiz","503","A","Pu Instructions","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Del Instructions","8/9/2015","8/9/2015","17:00","","11744","","","","","TUS A","TUS A","CAT","","0","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706"
"TEMPS8","8/9/2015","18:00","Dispatched Confirmed","1","55","0","SD GROUND","T","F","08:00","23:00","CATALINA (TUS)","CATA85706G","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85706","","45509369","","520-664-9189","","SOUTHWEST AIR CARGO (TUS)","SOUT85406","2600 E. LOS REALES ROAD","","TUCSON","AZ","85406","","45509369","HOLD FOR ROUTING","","","","12/30/1899","","","CATALINA CARTAGE (TUS)","CATTUS1","Esteban Ruiz","503","A","Pu Instructions","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Del Instructions","8/9/2015","8/9/2015","17:00","","11745","","","","","TUS A","TUS A","CAT","","0","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706"
"TEMPS1","8/9/2015","18:00","Dispatched Confirmed","1","55","0","SD GROUND","T","F","08:00","23:00","CATALINA (TUS)","CATA85706G","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85706","","45509369","","520-664-9189","","SOUTHWEST AIR CARGO (TUS)","SOUT85756A","2600 E. LOS REALES ROAD","","TUCSON","AZ","85756","","45509369","","","","","12/30/1899","","","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Pu Instructions","","","","","A","Del Instructions","8/9/2015","8/9/2015","17:00","","11746","","","","","TUS A","TUS B","CAT","","0","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706"
"TEMPS4","8/9/2015","18:00","Dispatched Confirmed","4","650","0","SD GROUND","T","F","08:00","23:00","CATALINA (TUS)","CATA85706G","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85706","","45509369","","520-664-9189","","LOWES","LOWE85606","1800 W. VALENCIA RD","","TUCSON","AZ","85606","","45509369","HOLD FOR ROUTING","","","","12/30/1899","","","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Pu Instructions","","","","","A","Del Instructions","8/9/2015","8/9/2015","17:00","","11747","","","","","TUS A","TUS G","CAT","","0","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706"
"TEMPS10","8/9/2015","18:00","Dispatched Confirmed","1","170","0","SD GROUND","T","F","08:00","23:00","FORWARD AIR (TUS)","FORW85706A","2800 EAST AIRPORT","UNIT 6","TUCSON","AZ","85706","","45509369","","","","CATALINA (TUS)","CATA85306","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85306","","45509369","HOLD FOR ROUTING","520-664-9189","","","12/30/1899","","","","","","","A","Pu Instructions","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Del Instructions","8/9/2015","8/9/2015","17:00","","11748","","","","","TUS A","PHX D","CAT","","0","MEGAN RUSSELL","520-425-2885","5420 S.CANYON OAK DR.","","TUCSON","AZ","85747","MEGAN RUSSELL","520-425-2885","5420 S.CANYON OAK DR.","","TUCSON","AZ","85747"
"TEMPS9","8/9/2015","18:00","Dispatched Confirmed","1","65","0","SD GROUND","T","F","08:00","23:00","CATALINA (TUS)","CATA85706G","5990 S. COUNTRY CLUB DRIVE","SUITE 120","TUCSON","AZ","85706","","45509369","","520-664-9189","","FORWARD AIR (TUS)","FORW85356","2800 EAST AIRPORT","","TUCSON","AZ","85356","","45509369","HOLD FOR ROUTING","","","","12/30/1899","","","CATALINA CARTAGE (TUS)","CATTUS1","Eric Kelsey","520-301-4212","A","Pu Instructions","CATALINA CARTAGE (TUS)","CATTUS1","JaimeRussell","5206658677","A","Del Instructions","8/9/2015","8/9/2015","23:00","","11749","","","","","TUS A","PHX H","CAT","","0","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706","CATALINA (TUS)","520-664-9188","5990 S. COUNTRY CLUB ROAD","SUITE 120","TUCSON","AZ","85706"
